Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.548754969161328,-1.3806048180209,0.908107736097199,0,0,0,1.70577691059712,0.00458572769276989,-1.50708472492748E-06,-3.14564373437032E-05,0.0104992579928831,-8.06290808385393E-06,0.0144085183211425,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/base_link.STL,,phiatren-1;bedo-1;tru-4;tru-3;tru-2;tru-1;IMU-1;hopdung-1;Arducam Hawkeye 64MP.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
banhtrai,-2.02119486287788E-05,-0.0018164067544556,-0.0433750682900458,0,0,0,0.435794414260444,0.000382372037256977,1.81645436072164E-08,-1.42252650586838E-07,0.000382252764759028,-5.23759432457662E-07,0.000401917668956338,0,0,0,0,0,0,package://Assem1/meshes/banhtrai.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/banhtrai.STL,,banhxe-1;DC-2,Coordinate System4,Axis1,banhtrai_joint,continuous,0.350290239355992,-1.3803458128823,0.852389092521277,-1.5707963267949,0,1.5707963267949,base_link,0,0,-1,,,,,,,,,,,,
banhphai,2.00254976292502E-05,0.001816178073755,-0.043375068290046,0,0,0,0.435794414260444,0.000382371806789593,1.8117164243898E-08,1.40436310490673E-07,0.000382252995226413,5.21531705388417E-07,0.000401917668956338,0,0,0,0,0,0,package://Assem1/meshes/banhphai.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/banhphai.STL,,banhxe-2;DC-1,Coordinate System5,Axis1,banhphai_link,continuous,0.745790239355993,-1.3803458128823,0.852389092521277,1.5707963267949,0,1.5707963267949,base_link,0,0,1,,,,,,,,,,,,
lidar,0.0234785173738545,-0.00861499524736353,0.0114376224732745,0,0,0,0.0120321644827452,2.13896937374507E-06,3.38753438527087E-08,4.1902417067331E-09,2.21429850902985E-06,-4.84631029574239E-09,3.87805341770358E-06,0,0,0,0,0,0,package://Assem1/meshes/lidar.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Assem1/meshes/lidar.STL,,LD19_v2.step-1,Origin_lidar_joint,Axis_lidar_joint,lidar_joint,fixed,0.52539,-1.4886,0.94338,0,0,0,base_link,0,0,0,,,,,,,,,,,,
khau1,0.0384567553986488,0.0553111195124063,0.00690305820758563,0,0,0,0.22378005771565,0.000482455222542284,-0.000288584818277498,5.61070494647459E-06,0.000268040384162815,8.06969721252696E-06,0.000742661032129233,0,0,0,0,0,0,package://Assem1/meshes/khau1.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/khau1.STL,,khau1-1,Coordinate System1,Axis2,khau1_joint,revolute,0.53329,-1.3803,0.99339,1.5708,0,1.5708,base_link,0,0,1,0,0,-7,1.57,,,,,,,,
khau2,0.0674636537725364,-0.0149232889765627,-0.005,0,0,0,0.14393211845664,7.25855077859198E-05,6.622043652795E-05,-1.02218797657449E-21,0.000357299691442539,-3.49002818342745E-22,0.000427486330587515,0,0,0,0,0,0,package://Assem1/meshes/khau2.STL,1,1,1,1,0,0,0,0,0,0,package://Assem1/meshes/khau2.STL,,khau2-1,Coordinate System2,Axis_khau2_joint,khau2_joint,revolute,0.0856288427561467,0.123157221827406,0.0199999999999999,0,0,0,khau1,0,0,1,0,0,-157,157,,,,,,,,
